O1
MMult0
 Dimension       Time    Gflop/s       GB/s        Error
        16   0.488844   4.091292   4.346998 0.000000e+00
        64   0.460906   4.339625   4.610852 0.000000e+00
       112   0.501332   3.990602   4.240015 0.000000e+00
       160   0.491170   4.086246   4.341636 0.000000e+00
       208   0.486180   4.146108   4.405240 0.000000e+00
       256   0.482047   4.176489   4.437520 0.000000e+00
       304   0.478911   4.223751   4.487735 0.000000e+00
       352   0.474024   4.232390   4.496915 0.000000e+00
       400   0.481414   4.254132   4.520015 0.000000e+00
       448   0.505904   4.265567   4.532165 0.000000e+00
       496   0.511785   4.291702   4.559934 0.000000e+00
       544   0.523865   4.302349   4.571245 0.000000e+00
       592   0.483840   4.288083   4.556088 0.000000e+00
       640   0.488443   4.293546   4.561893 0.000000e+00
       688   0.603581   4.316381   4.586155 0.000000e+00
       736   0.555522   4.306092   4.575223 0.000000e+00
       784   0.668528   4.324940   4.595249 0.000000e+00
       832   0.534282   4.311811   4.581300 0.000000e+00
       880   0.629862   4.327754   4.598239 0.000000e+00
       928   0.739094   4.325179   4.595503 0.000000e+00
       976   0.858743   4.330579   4.601241 0.000000e+00
      1024   0.496660   4.323846   4.594087 0.000000e+00
      1072   0.588751   4.184880   4.446435 0.000000e+00
      1120   0.675972   4.156766   4.416564 0.000000e+00
      1168   0.764686   4.167498   4.427967 0.000000e+00
      1216   0.882428   4.075224   4.329926 0.000000e+00
      1264   1.075978   3.753770   3.988381 0.000000e+00
      1312   1.184261   3.814030   4.052407 0.000000e+00
      1360   1.420314   3.542113   3.763495 0.000000e+00
      1408   1.558027   3.583134   3.807080 0.000000e+00
      1456   1.807964   3.414478   3.627883 0.000000e+00
      1504   2.123276   3.204550   3.404834 0.000000e+00
      1552   3.918479   1.908041   2.027293 0.000000e+00
      1600   2.636320   3.107362   3.301572 0.000000e+00
      1648   2.987199   2.996660   3.183951 0.000000e+00
      1696   3.386674   2.880940   3.060998 0.000000e+00
      1744   3.825206   2.773414   2.946752 0.000000e+00
      1792   4.179276   2.753867   2.925984 0.000000e+00
      1840   4.597015   2.710239   2.879629 0.000000e+00
      1888   4.933587   2.728181   2.898692 0.000000e+00
      1936   5.320189   2.727841   2.898331 0.000000e+00
      1984   5.689456   2.745265   2.916844 0.000000e+00
MMult1
 Dimension       Time    Gflop/s       GB/s        Error
        16   0.285400   7.007729   7.445712 0.000000e+00
        64   0.279651   7.152350   7.599372 0.000000e+00
       112   0.281785   7.099797   7.543534 0.000000e+00
       160   0.281757   7.123296   7.568502 0.000000e+00
       208   0.292198   6.898599   7.329762 0.000000e+00
       256   0.357276   5.635040   5.987230 0.000000e+00
       304   0.299064   6.763767   7.186502 0.000000e+00
       352   0.309447   6.483356   6.888566 0.000000e+00
       400   0.304050   6.735743   7.156727 0.000000e+00
       448   0.319334   6.757723   7.180080 0.000000e+00
       496   0.326331   6.730681   7.151348 0.000000e+00
       544   0.341510   6.599651   7.012129 0.000000e+00
       592   0.307831   6.739887   7.161129 0.000000e+00
       640   0.318689   6.580551   6.991835 0.000000e+00
       688   0.391879   6.648183   7.063694 0.000000e+00
       736   0.361514   6.616972   7.030533 0.000000e+00
       784   0.437735   6.605231   7.018058 0.000000e+00
       832   0.348757   6.605516   7.018361 0.000000e+00
       880   0.418403   6.514981   6.922167 0.000000e+00
       928   0.492055   6.496662   6.902704 0.000000e+00
       976   0.576527   6.450446   6.853598 0.000000e+00
      1024   0.926503   2.317837   2.462702 0.000000e+00
      1072   0.397880   6.192442   6.579470 0.000000e+00
      1120   0.463162   6.066685   6.445852 0.000000e+00
      1168   0.547926   5.816163   6.179673 0.000000e+00
      1216   0.642659   5.595645   5.945373 0.000000e+00
      1264   0.726361   5.560559   5.908094 0.000000e+00
      1312   0.831276   5.433584   5.773183 0.000000e+00
      1360   0.978584   5.141014   5.462328 0.000000e+00
      1408   1.096654   5.090594   5.408756 0.000000e+00
      1456   1.210329   5.100477   5.419257 0.000000e+00
      1504   1.318293   5.161330   5.483913 0.000000e+00
      1552   1.494618   5.002360   5.315008 0.000000e+00
      1600   1.622744   5.048238   5.363753 0.000000e+00
      1648   1.778634   5.032861   5.347415 0.000000e+00
      1696   2.066550   4.721301   5.016382 0.000000e+00
      1744   2.116730   5.011918   5.325163 0.000000e+00
      1792   2.390924   4.813691   5.114547 0.000000e+00
      1840   2.711710   4.594521   4.881678 0.000000e+00
      1888   2.782768   4.836809   5.139109 0.000000e+00
      1936   2.961164   4.900988   5.207299 0.000000e+00
      1984   3.263105   4.786565   5.085725 0.000000e+00
