O2
MMult0
 Dimension       Time    Gflop/s       GB/s        Error
        16   0.491638   4.068040   4.322293 0.000000e+00
        64   0.462669   4.323091   4.593284 0.000000e+00
       112   0.498603   4.012447   4.263224 0.000000e+00
       160   0.489569   4.099606   4.355831 0.000000e+00
       208   0.483195   4.171725   4.432458 0.000000e+00
       256   0.476771   4.222710   4.486630 0.000000e+00
       304   0.479868   4.215331   4.478790 0.000000e+00
       352   0.472307   4.247776   4.513262 0.000000e+00
       400   0.481585   4.252628   4.518418 0.000000e+00
       448   0.505796   4.266483   4.533138 0.000000e+00
       496   0.514086   4.272500   4.539531 0.000000e+00
       544   0.526428   4.281398   4.548985 0.000000e+00
       592   0.484508   4.282169   4.549805 0.000000e+00
       640   0.490458   4.275902   4.543146 0.000000e+00
       688   0.608585   4.280893   4.548448 0.000000e+00
       736   0.557630   4.289815   4.557928 0.000000e+00
       784   0.674462   4.286884   4.554815 0.000000e+00
       832   0.536396   4.294816   4.563242 0.000000e+00
       880   0.634666   4.294999   4.563437 0.000000e+00
       928   0.744207   4.295464   4.563931 0.000000e+00
       976   0.864558   4.301454   4.570295 0.000000e+00
      1024   0.495220   4.336421   4.607447 0.000000e+00
      1072   0.578286   4.260610   4.526898 0.000000e+00
      1120   0.655329   4.287705   4.555686 0.000000e+00
      1168   0.766963   4.155123   4.414818 0.000000e+00
      1216   0.867460   4.145542   4.404639 0.000000e+00
      1264   1.058217   3.816776   4.055324 0.000000e+00
      1312   1.176974   3.837643   4.077496 0.000000e+00
      1360   1.607215   3.130204   3.325842 0.000000e+00
      1408   1.672360   3.338167   3.546803 0.000000e+00
      1456   1.813869   3.403362   3.616072 0.000000e+00
      1504   2.052103   3.315694   3.522925 0.000000e+00
      1552   2.252710   3.318944   3.526378 0.000000e+00
      1600   2.507770   3.266648   3.470813 0.000000e+00
      1648   2.859802   3.130154   3.325789 0.000000e+00
      1696   3.126842   3.120338   3.315359 0.000000e+00
      1744   3.594905   2.951087   3.135530 0.000000e+00
      1792   4.049213   2.842323   3.019968 0.000000e+00
      1840   4.469477   2.787576   2.961800 0.000000e+00
      1888   4.833452   2.784701   2.958745 0.000000e+00
      1936   5.255524   2.761405   2.933993 0.000000e+00
      1984   5.677822   2.750890   2.922820 0.000000e+00
MMult1
 Dimension       Time    Gflop/s       GB/s        Error
        16   0.271530   7.365690   7.826045 0.000000e+00
        64   0.260713   7.671877   8.151370 0.000000e+00
       112   0.260044   7.693393   8.174230 0.000000e+00
       160   0.265102   7.570832   8.044009 0.000000e+00
       208   0.269016   7.493064   7.961381 0.000000e+00
       256   0.323997   6.213847   6.602213 0.000000e+00
       304   0.270809   7.469482   7.936325 0.000000e+00
       352   0.274718   7.302956   7.759391 0.000000e+00
       400   0.284221   7.205669   7.656023 0.000000e+00
       448   0.300650   7.177672   7.626277 0.000000e+00
       496   0.298569   7.356521   7.816303 0.000000e+00
       544   0.314144   7.174578   7.622989 0.000000e+00
       592   0.281708   7.364891   7.825196 0.000000e+00
       640   0.296750   7.067062   7.508753 0.000000e+00
       688   0.362038   7.196163   7.645924 0.000000e+00
       736   0.335270   7.134934   7.580867 0.000000e+00
       784   0.403455   7.166452   7.614355 0.000000e+00
       832   0.332268   6.933316   7.366649 0.000000e+00
       880   0.381942   7.136922   7.582979 0.000000e+00
       928   0.450266   7.099613   7.543339 0.000000e+00
       976   0.531137   7.001690   7.439296 0.000000e+00
      1024   0.834202   2.574296   2.735190 0.000000e+00
      1072   0.356036   6.920221   7.352734 0.000000e+00
      1120   0.414068   6.785982   7.210106 0.000000e+00
      1168   0.496101   6.423741   6.825224 0.000000e+00
      1216   0.562350   6.394762   6.794434 0.000000e+00
      1264   0.636054   6.350047   6.746925 0.000000e+00
      1312   0.721049   6.264220   6.655734 0.000000e+00
      1360   0.782036   6.433098   6.835167 0.000000e+00
      1408   0.977765   5.709572   6.066420 0.000000e+00
      1456   1.040283   5.934207   6.305094 0.000000e+00
      1504   1.238359   5.494484   5.837890 0.000000e+00
      1552   1.317166   5.676290   6.031059 0.000000e+00
      1600   1.388733   5.898902   6.267583 0.000000e+00
      1648   1.839707   4.865785   5.169896 0.000000e+00
      1696   1.728268   5.645423   5.998262 0.000000e+00
      1744   1.870392   5.672007   6.026508 0.000000e+00
      1792   2.114990   5.441713   5.781820 0.000000e+00
      1840   2.274228   5.478346   5.820742 0.000000e+00
      1888   2.449301   5.495331   5.838789 0.000000e+00
      1936   2.686897   5.401260   5.738839 0.000000e+00
      1984   3.076072   5.077601   5.394951 0.000000e+00
