      Size       Time    Gflop/s
        32   0.310842   6.434139
        64   0.389985   5.128400
       128   0.370482   5.398374
       256   0.411426   4.861145
       512   0.429905   4.652193
      1024   0.439789   4.547639
      2048   0.447275   4.471527
      4096   0.446930   4.474978
      8192   0.447679   4.467511
     16384   0.448485   4.459523
     32768   0.450965   4.434993
     65536   0.450276   4.441781
    131072   0.450404   4.440809
    262144   0.451417   4.430849
    524288   0.454337   4.403521
   1048576   0.669346   2.989013
   2097152   0.857713   2.332579
   4194304   0.833905   2.404203
   8388608   0.814261   2.472507
