      Size       Time    Gflop/s
        32   0.379450   5.270787
        64   0.495467   4.036594
       128   0.677578   2.951692
       256   0.788896   2.535187
       512   0.841976   2.375365
      1024   0.869872   2.299189
      2048   0.885642   2.258252
      4096   0.892585   2.240686
      8192   0.893651   2.238022
     16384   0.895345   2.233807
     32768   0.898111   2.226927
     65536   0.900997   2.219794
    131072   0.899565   2.223473
    262144   0.900870   2.220251
    524288   0.900583   2.221542
   1048576   0.941656   2.124643
   2097152   0.960408   2.083159
   4194304   0.981641   2.042374
   8388608   1.024590   1.964948
