      Size       Time    Gflop/s
        32   0.272349   7.343518
        64   0.280725   7.124410
       128   0.289955   6.897627
       256   0.295336   6.771958
       512   0.305276   6.551462
      1024   0.302267   6.616671
      2048   0.302989   6.600914
      4096   0.300827   6.648343
      8192   0.299659   6.674280
     16384   0.299487   6.678173
     32768   0.305045   6.556495
     65536   0.303209   6.596193
    131072   0.302452   6.613150
    262144   0.302329   6.615841
    524288   0.302871   6.605729
   1048576   0.582620   3.433943
   2097152   0.824471   2.426626
   4194304   0.815371   2.458854
   8388608   0.848113   2.373817
