      Size       Time    Gflop/s
        32   0.435789   4.589374
        64   0.461535   4.333362
       128   0.489457   4.086160
       256   0.482918   4.141489
       512   0.487936   4.098899
      1024   0.488046   4.097976
      2048   0.489696   4.084171
      4096   0.489265   4.087768
      8192   0.488089   4.097641
     16384   0.488453   4.094615
     32768   0.493487   4.052848
     65536   0.493794   4.050330
    131072   0.494459   4.045149
    262144   0.493725   4.051160
    524288   0.494351   4.047093
   1048576   0.676783   2.956166
   2097152   0.783125   2.554742
   4194304   0.839122   2.389256
   8388608   0.930846   2.162835
